,State_x,City_x,2010 POP,Median 2010,2011 POP,Median 2011,2012 POP,Median 2012,2013 POP,Median 2013,2014 POP,Median 2014,2015 POP,Median 2015,2016 POP,Median 2016,2017 POP,Median 2017,Brewery Name,City_y,State_y,Country,Year Established,Still in Business?,Closed?
76541,Washington,Toledo city,724,57244,726,58890,723,59374,718,59478,717,60294,722,61062,736,62848,751,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76542,Washington,Vader city,620,57244,620,58890,619,59374,615,59478,615,60294,619,61062,629,62848,643,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76543,Washington,Winlock city,1337,57244,1330,58890,1323,59374,1310,59478,1305,60294,1314,61062,1333,62848,1354,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76544,Washington,Balance of Lewis County,44600,57244,44617,58890,44494,59374,44216,59478,44164,60294,44523,61062,45277,62848,46209,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76545,Washington,Lincoln County,10575,57244,10527,58890,10430,59374,10296,59478,10226,60294,10286,61062,10333,62848,10579,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76546,Washington,Almira town,284,57244,280,58890,276,59374,273,59478,271,60294,272,61062,272,62848,276,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76547,Washington,Creston town,236,57244,233,58890,230,59374,226,59478,223,60294,223,61062,223,62848,226,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76548,Washington,Davenport city,1736,57244,1732,58890,1721,59374,1695,59478,1675,60294,1679,61062,1678,62848,1708,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76549,Washington,Harrington city,426,57244,422,58890,416,59374,408,59478,403,60294,403,61062,403,62848,411,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76550,Washington,Odessa town,911,57244,901,58890,888,59374,872,59478,860,60294,861,61062,861,62848,876,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76551,Washington,Reardan town,570,57244,568,58890,564,59374,559,59478,558,60294,562,61062,566,62848,582,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76552,Washington,Sprague city,445,57244,440,58890,434,59374,427,59478,422,60294,425,61062,428,62848,441,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76553,Washington,Wilbur town,868,57244,860,58890,846,59374,834,59478,824,60294,825,61062,824,62848,839,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76554,Washington,Balance of Lincoln County,5099,57244,5091,58890,5055,59374,5002,59478,4990,60294,5036,61062,5078,62848,5220,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76555,Washington,Mason County,60733,57244,60858,58890,60666,59374,60462,59478,60568,60294,60984,61062,62123,62848,63710,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76556,Washington,Shelton city,9859,57244,9842,58890,9775,59374,9715,59478,9736,60294,9801,61062,9927,62848,10146,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76557,Washington,Balance of Mason County,50874,57244,51016,58890,50891,59374,50747,59478,50832,60294,51183,61062,52196,62848,53564,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76558,Washington,Okanogan County,41226,57244,41338,58890,41213,59374,41087,59478,41243,60294,41334,61062,41479,62848,41742,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76559,Washington,Brewster city,2373,57244,2369,58890,2359,59374,2356,59478,2357,60294,2350,61062,2342,62848,2343,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76560,Washington,Conconully town,203,57244,204,58890,204,59374,204,59478,205,60294,206,61062,206,62848,208,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76561,Washington,Coulee Dam town (pt.),912,57244,911,58890,901,59374,895,59478,893,60294,889,61062,886,62848,886,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76562,Washington,Elmer City town,251,57244,253,58890,251,59374,249,59478,249,60294,247,61062,247,62848,247,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76563,Washington,Nespelem town,232,57244,235,58890,233,59374,234,59478,246,60294,254,61062,280,62848,313,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
